index,Date,Open,High,Low,Close,Volume,OpenInt
135,1962-07-16,4.1668,4.2417,4.1249,4.2417,1984996,0
136,1962-07-17,4.2417,4.2585,4.1,4.1,2047872,0
137,1962-07-18,4.1,4.1249,4.0165,4.0497,2919112,0
138,1962-07-19,4.0667,4.1668,4.0667,4.0749,2631693,0
139,1962-07-20,4.083,4.1415,4.083,4.1249,817351,0
140,1962-07-23,4.1249,4.1753,4.1169,4.1334,1005969,0
141,1962-07-24,4.1083,4.1083,4.0249,4.0249,1068844,0
142,1962-07-25,4.0249,4.083,3.9747,4.0749,2254455,0
143,1962-07-26,4.0916,4.1334,4.0916,4.0916,1140701,0
144,1962-07-27,4.0916,4.1668,4.0916,4.1668,1140701,0
145,1962-07-30,4.192,4.2919,4.192,4.2919,3413117,0
146,1962-07-31,4.2919,4.3589,4.2919,4.2919,3323298,0
147,1962-08-01,4.2755,4.2755,4.1668,4.1668,1464049,0
148,1962-08-02,4.1753,4.2755,4.1753,4.2755,1787394,0
149,1962-08-03,4.2755,4.2919,4.2335,4.2669999999999995,1140701,0
150,1962-08-06,4.2669999999999995,4.2839,4.2084,4.2084,7913041,0
151,1962-08-07,4.2084,4.2084,4.1334,4.1334,1104772,0
152,1962-08-08,4.1334,4.2417,4.1083,4.2335,1895177,0
153,1962-08-09,4.2252,4.2252,4.1581,4.1753,1544884,0
154,1962-08-10,4.1753,4.2084,4.1581,4.1668,1176626,0
155,1962-08-13,4.1668,4.2084,4.1668,4.2,1221537,0
156,1962-08-14,4.2,4.2755,4.192,4.2755,2272418,0
157,1962-08-15,4.2839,4.3669,4.2839,4.2839,2811329,0
158,1962-08-16,4.2839,4.3504,4.2755,4.2839,1526920,0
159,1962-08-17,4.2839,4.3421,4.2755,4.3171,1068844,0
160,1962-08-20,4.3421,4.4004,4.3421,4.3669,2164637,0
161,1962-08-21,4.3669,4.4089,4.3421,4.3504,1553864,0
162,1962-08-22,4.3589,4.5591,4.3589,4.5339,3961012,0
163,1962-08-23,4.5339,4.6008,4.5173,4.5506,3502932,0
164,1962-08-24,4.5506,4.5591,4.5173,4.5339,1499972,0
165,1962-08-27,4.5339,4.5676,4.5173,4.5258,1095790,0
166,1962-08-28,4.5173,4.5173,4.3589,4.3589,3296352,0
167,1962-08-29,4.3589,4.3921,4.3005,4.3339,3017913,0
168,1962-08-30,4.3339,4.3758,4.2919,4.3005,1140701,0
169,1962-08-31,4.3084,4.4089,4.3084,4.3921,1473030,0
170,1962-09-04,4.3921,4.4508,4.2755,4.2919,1949069,0
171,1962-09-05,4.2919,4.3421,4.2252,4.2417,2694565,0
172,1962-09-06,4.2417,4.3084,4.2252,4.3005,2173616,0
173,1962-09-07,4.3005,4.3339,4.2335,4.2335,1580812,0
174,1962-09-10,4.2335,4.2839,4.1834,4.2585,2164637,0
175,1962-09-11,4.2585,4.3005,4.2252,4.2335,1850268,0
176,1962-09-12,4.2417,4.2839,4.2417,4.25,1562846,0
177,1962-09-13,4.25,4.2839,4.25,4.25,1014954,0
178,1962-09-14,4.25,4.3084,4.2417,4.3005,1311356,0
179,1962-09-17,4.3084,4.3839,4.3084,4.3758,1751467,0
180,1962-09-18,4.3758,4.4341,4.3421,4.3421,2730491,0
181,1962-09-19,4.3421,4.3589,4.2839,4.2839,1760448,0
182,1962-09-20,4.2839,4.3171,4.2335,4.2417,1059863,0
183,1962-09-21,4.2417,4.2417,4.1581,4.1753,2559836,0
184,1962-09-24,4.1249,4.1249,4.0079,4.0165,3143661,0
185,1962-09-25,4.0165,4.0916,3.9829,4.0916,2928095,0
186,1962-09-26,4.0916,4.1,3.9412,3.9412,2461036,0
187,1962-09-27,3.9412,3.9913,3.8662,3.8828,3449043,0
188,1962-09-28,3.8828,3.9496,3.8828,3.9163,1697576,0
189,1962-10-01,3.9163,3.9163,3.7743,3.7743,2218523,0
190,1962-10-02,3.8076,3.8912,3.8076,3.8828,3395152,0
191,1962-10-03,3.8828,3.9496,3.8492,3.8662,2155652,0
192,1962-10-04,3.8662,3.9666,3.8492,3.9666,1562846,0
193,1962-10-05,3.9666,4.0079,3.9412,3.9913,2083797,0
194,1962-10-08,3.9913,4.0079,3.9829,3.9913,763460,0
195,1962-10-09,3.9997,4.0749,3.9997,4.0582,1419137,0
196,1962-10-10,4.0582,4.1169,3.9579,3.9829,2173616,0
197,1962-10-11,3.9829,4.0332,3.9412,3.9496,1634705,0
198,1962-10-12,3.9496,3.9579,3.8996,3.9412,1248485,0
199,1962-10-15,3.9579,4.0667,3.9579,4.0667,1113756,0
200,1962-10-16,4.0667,4.083,3.9666,3.9666,1508953,0
201,1962-10-17,3.9666,4.0414,3.9412,4.0079,1652665,0
202,1962-10-18,4.0079,4.0332,3.9329,3.9329,1176626,0
203,1962-10-19,3.9329,3.9496,3.8578,3.8578,2838279,0
204,1962-10-22,3.8243,3.8243,3.7577,3.7993,3287369,0
205,1962-10-23,3.7993,3.7993,3.6572,3.6572,3017913,0
206,1962-10-24,3.6572,3.7658,3.5655,3.7658,4419086,0
207,1962-10-25,3.7658,3.7743,3.6824,3.7489999999999997,3206533,0
208,1962-10-26,3.7326,3.7326,3.6489999999999996,3.6741,1859250,0
209,1962-10-29,3.7489999999999997,3.8243,3.7489999999999997,3.8163,4221488,0
210,1962-10-30,3.8163,3.8996,3.7828,3.8996,3170607,0
211,1962-10-31,3.8912,3.8912,3.8163,3.8329,1410159,0
212,1962-11-01,3.8329,3.8996,3.7910000000000004,3.8996,2389182,0
213,1962-11-02,3.8996,4.1,3.8492,3.9579,3754428,0
214,1962-11-05,3.9829,4.0332,3.9829,4.0079,2074815,0
215,1962-11-07,4.0079,4.0582,3.9496,4.0079,2092782,0
216,1962-11-08,4.0079,4.0414,3.9412,3.9412,1526920,0
